PREGUNTA,RESPUESTA_A,RESPUESTA_B,RESPUESTA_C,RESPUESTA_D,RESPUESTA_CORRECTA,BLOQUE,AUTOR,PROMOCION,ANNO_CREACION,OBSERVACIONES,NUMERO_TEST,NUMERO_PREGUNTA,ID,TEMAS,REVISADA,ESTADO,REVISOR,SENTENCIA,,EXAMEN
¿Cuál de las siguientes es una conocida aplicación de servidor de DNS?,BISS,DNSOPI,DHCP,BIND,D,B4,A.deGrado,PREPARATIC24,2016,,,,,103,,,,INSERT,,Examen TIC A2 2011
¿Qué se entiende por tiempo de convergencia cuando hablamos de routers?,Tiempo que tardan dos datagramas que siguen distinto encaminamiento en llegar al router final.,Rapidez con la cual los routers de la red comparten información de enrutamiento.,Tiempo que tarda un paquete en alcanzar su destino atravesando el mínimo número de routers posible.,"Tiempo medio que tarda un paquete en alcanzar cualquier nodo de la red, desde un mismo origen.",B,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 2011
¿Cuál es el estándar del IEEE conocido como PoE+ (Power over Ethernet Plus) que aumenta la potencia de entrega respecto a su predecesor?,IEEE 802.3af,IEEE 802.3ab,IEEE 802.3at,IEEE 802.1ba,C,B4,A.deGrado,PREPARATIC24,2016,,,,,112,,,,INSERT,,Examen TIC A2 2011
Señale cuál de entre los protocolos que componen SSL reside al nivel más bajo y proporciona el encapsulado a los protocolos del nivel superior:,Record.,Handshake.,Alert.,Change Cipher Spec.,A,B4,A.deGrado,PREPARATIC24,2016,,,,,120,,,,INSERT,,Examen TIC A2 2011
"A los efectos de la Ley 34/2002, de 11 de julio, de servicios de la sociedad de la información y de comercio electrónico, señale cuál NO es un servicio de la sociedad de la información:",La organización y gestión de subastas por medios electrónicos o de mercados y centros comerciales virtuales.,El teletexto televisivo y otros servicios equivalentes como las guías electrónicas de programas ofrecidas a través de las plataformas televisivas.,"El vídeo bajo demanda, como servicio en que el usuario puede seleccionar a través de la red, tanto el programa deseado como el momento de su suministro y recepción.",El suministro de información por vía telemática.,B,A4,A.deGrado,PREPARATIC24,2016,,,,,19,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"De acuerdo con la Ley Orgánica de Protección de Datos, señale cuáles se consideran datos especialmente protegidos:",El número de matrícula de un vehículo,La fecha de nacimiento,La afiliación sindical,El número de teléfono,C,B1,A.deGrado,PREPARATIC24,2016,,,,,35,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"Atendiendo a la clasificación de arquitecturas MIMD (Multiple Instruction stream, Multiple Data stream) [Johson88], señale cuál de las siguientes respuestas se correspondería con una implementación del tipo DMMP (Distributed Memory/ Message passing):",Arquitecturas de memoria compartida o SMP.,Arquitecturas de memoria virtual-compartida.,No existen implementaciones de esta tipología.,Clusters.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,49,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"Señale la afirmación correcta. Cuando en un microprocesador hablamos de un ciclo de máquina de tipo ""fetch"" nos estamos refiriendo a:",Lectura de microinstrucción.,Lectura de dato de la memoria.,Escritura de dato de la memoria.,Escritura de dato en un dispositivo.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,51,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
Señale cuál de las siguientes NO es una de las principales características del lenguaje JAVA:,Orientación a objetos,Herencia Múltiple,Arquitectura Neutra,Multithread,B,B2,A.deGrado,PREPARATIC24,2016,,,,,64,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"En el ámbito del modelo TCP/IP, señale cuál de las siguientes siglas identifica un algoritmo de encaminamiento:",NTP (Network Time Protocol),RIP (Routing Information Protocol),RPC (Remote Procedure Call),FTP (File Transfer Protocol),B,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
Se presentan a continuación tres niveles de la torre de protocolos TCP/IP y tres protocolos: 1) Nivel 1 (Físico) 2) Nivel 2 (Enlace de datos) 3) Nivel 5 (Aplicación) I) GPRS (General Packet Radio Service). II) PLC (Power Line Communications). III) TLS/SSL (Transport Layer Security/Secure Sockets Layer) Señale cuál es el emparejamiento correcto de nivel/protocolo:,"1/I, 2/II, 3/III.","1/II, 2/I, 3/III.","1/III, 2/I, 3/II.","1/II, 2/III, 3/I.",B,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
Indique cuál de las siguientes respuestas NO constituye una actividad del modelo de ciclo de vida de sistemas de información en espiral:,Planificación,Análisis de Riesgos,Evaluación,Adquisición,D,B3,A.deGrado,PREPARATIC24,2016,,,,,82,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
El modelo de ciclo de vida cluster (o de agrupamiento) es un subtipo que se engloba dentro de los modelos de ciclo de vida:,Incremental.,Para Desarrollo Orientado a Objetos.,De Prototipos.,En Espiral.,B,B3,A.deGrado,PREPARATIC24,2016,,,,,82,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
Señale la respuesta correcta en relación al modelo de desarrollo en espiral:,Fue propuesto por Mills en 1980.,"Cada ciclo de desarrollo se divide en 4 fases: ""definición de objetivos"", ""evaluación y reducción de riesgos"", ""desarrollo y validación"" y ""planificación"".",El radio de la espiral representa el incremento del riesgo a lo largo del proyecto.,"El ciclo de vida completo se inicia con la fase de ""planificación"".",B,B3,A.deGrado,PREPARATIC24,2016,,,,,82,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿En cuál de los siguientes modelos de ciclo de vida hay una o varias fases de análisis de riesgos?,Cascada,Prototipado incremental,Por etapas,En espiral,D,B3,A.deGrado,PREPARATIC24,2016,,,,,82,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
Indique la afirmación correcta referida al Modelo Incremental de desarrollo de software:,Es una adaptación a “alta velocidad” del modelo lineal secuencial en el que se logra el desarrollo rápido utilizando una construcción basada en componentes.,"A diferencia de la construcción de prototipos, el modelo incremental se centra en la entrega de un producto parcialmente operativo con cada incremento.",Combina elementos del modelo en espiral con la filosofía interactiva de construcción de prototipos.,"Los primeros incrementos son ya versiones completas del producto final, proporcionan al usuario la funcionalidad que precisa y también una plataforma para la evaluación.",B,B3,A.deGrado,PREPARATIC24,2016,,,,,82,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"Conforme con la metodología METRICA 3, constituye una técnica de estimación:",Diagrama de Gantt,Estructura de descomposición del Trabajo (WBS- Work Breakdonw Structure),Método MARK II,Diagrama de extrapolación,C,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
La metodología Métrica:,Es una metodología de uso privativo en las Administraciones Públicas,"Sirve para la planificación, desarrollo y mantenimiento de sistemas de información",Aplica a todas las actividades de un proyecto software excepto la planificación,Se utiliza de forma predominante en el análisis de riesgos de los S.I.,B,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"De acuerdo con la metodología METRICA v3, señale cuál es el perfil que realiza la estimación del esfuerzo necesario para llevar a cabo el proyecto, selecciona la estrategia de desarrollo, determina la estructura del mismo seleccionando los procesos principales que lo integran, fija el calendario de hitos y entregas, y establece la planificación del proyecto:",Consultor de tecnologías de la información.,Director de Sistemas de Información.,Alto directivo usuario.,Jefe de Proyecto.,D,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"La técnica de Desarrollo Conjunto de Aplicaciones (JAD, Joint Application Development):",Se aplica para identificar requisitos en el campo de los sistemas de información.,Implica más a los ingenieros de requisitos y menos a los usuarios y clientes.,Requiere más tiempo para contrastar las opiniones con los clientes.,Implica la realización de entrevistas individuales para su posterior puesta en común.,A,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"En un DFD (Diagrama de Flujos de Datos), los flujos de datos que comunican procesos con almacenes pueden ser de diversos tipos. Entre ellos se encuentran los flujos de datos:",De iteracción,De diálogo,De sincronización.,De interrelación.,B,B3,A.deGrado,PREPARATIC24,2016,,,,,86,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Cuál de los siguientes enunciados NO es un objetivo en la elaboración del modelo conceptual de datos?,Identificar y definir las entidades que quedan dentro del ámbito del sistema.,Identificar y definir los métodos asociados a cada una de las entidades del sistema.,Identificar y definir los atributos de cada entidad y sus dominios correspondientes.,Identificar y definir las relaciones existentes entre las entidades.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"Señale cómo se denomina, en el modelo entidad/relación extendido, la relación por la que un supertipo se descompone en uno o varios subtipos, los cuales heredan todos los atributos y relaciones del supertipo, además de tener los suyos propios:",Generalización.,Asociación.,Especialización.,Agregación,C,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"En el modelo relacional, se denomina Grado de una tabla relacional al número de:",Tuplas que la forman.,Filas que la forman.,Claves alternativas que contiene.,Atributos que la forman.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
El modelo entidad/relación está formado por:,"Clases, objetos e instancias.",Variables y métodos.,"Entidades, atributos y relaciones.",Entidades. Objetos y clases.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Cuál de los siguientes no es elemento de un Diagrama de Flujo de Datos (DFD)?:,Proceso.,Entidad Externa.,Entidad Interna.,Almacén de datos.,C,B3,A.deGrado,PREPARATIC24,2016,,,,,86,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
En un diagrama de flujo de datos,El proceso nunca es el origen ni el final de los datos.,Se representan las relaciones entre las entidades externas.,Los almacenes pueden estar comunicados entre sí.,No es necesario reflejar todos los flujos de datos en el diagrama que detalla a un proceso.,A,B3,A.deGrado,PREPARATIC24,2016,,,,,86,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"En un modelo de datos Entidad / Relación, ¿qué se entiende por “entidad débil”?",Una entidad que no se encuentra relacionada con otra.,Una entidad que hereda todos sus atributos de otra.,Una entidad cuya existencia depende de la existencia de otra.,Ninguna de las respuestas anteriores definen una entidad débil.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"En el sistema relacional de datos, los conceptos básicos son relación, tupla, clave primaria y dominio. En este ámbito, señale qué es un dominio:",El identificador único para la tabla,"Una colección de valores, de los cuales uno o más atributos (columnas) obtienen sus valores reales","Una colección de valores, de los cuales una o más tuplas obtienen sus relaciones",El número de tuplas que contiene una relación. También es conocido por cardinalidad,B,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"El modelo de datos se compone de tres piezas de información interrelacionadas: el objeto de datos, los atributos y la relación que conecta objetos de datos entre sí. Señale la afirmación correcta en relación al objeto de datos:","Solamente encapsula datos, no hay referencia dentro de un objeto de datos a operaciones que actúan en el dato.",Se usa para nombrar una ocurrencia de un atributo.,Proporciona una indicación de cómo se transforman los datos a medida que se avanza en el sistema.,Nunca puede ser una entidad externa.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"¿Cuál de los siguientes tipos de anomalía, NO se soluciona o mitiga mediante la normalización de tablas y relaciones?",Anomalía de inserción.,Anomalía de eliminación.,Anomalía estructural.,Anomalía de actualización.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"En el ámbito del diseño estructurado, señale cuál de las siguientes afirmaciones es correcta:",El acoplamiento común constituye un nivel de acoplamiento mejor que el de datos.,La cohesión procedimental presenta mayor cohesión que la secuencial.,El acoplamiento común se presenta cuando un módulo hace referencia a la parte interior de otro.,La cohesión funcional implica que todos los elementos que componen el módulo están relacionados en el desarrollo de una única función.,D,B3,A.deGrado,PREPARATIC24,2016,,,,,89,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"Según Métrica 3, en la construcción de un sistema de información (CSI), un ""analista"" participa, entre otras, en las actividades de:",CSI1 (Preparación del entorno de generación y construcción).,CSI2 (Generación del código de los componentes y procedimientos).,CSI3 (Ejecución de las pruebas unitarias).,CSI5 (Ejecución de las pruebas del sistema).,D,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"Señale la afirmación correcta. En la actividad ""Elaboración de los Manuales de Usuario"" de Métrica v3:",Se genera la documentación de usuario final conforme a los requisitos definidos en el proceso Estudio de Viabilidad del Sistema,"Se especifican todas las interfaces entre el sistema y el usuario, tales como formatos de pantallas, diálogos, formatos de informes y formularios de entrada",Se especifica la formación necesaria para que los usuarios finales sean capaces de utilizar el sistema de forma satisfactoria,Se genera la documentación de usuario final o explotación conforme a los requisitos definidos en el proceso Diseño del Sistema de Información,D,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Cuál de estas estrategias NO es típica de las pruebas de caja negra?,El cubrimiento lógico,La partición en clases de equivalencia,El análisis de valores límite,La comparación de versiones,A,B3,A.deGrado,PREPARATIC24,2016,,,,,92,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Cuál de las siguientes afirmaciones es cierta?,El mantenimiento correctivo se realiza exclusivamente antes de la recepción,Una vez entregado el sistema sólo se debe realizar un mantenimiento evolutivo de aquél.,La metodología Métrica no contempla el mantenimiento de los S.I. una vez aceptados.,Un S.I. debe ser planificado con recursos dedicados a su mantenimiento durante toda su vida útil,D,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"En el modelado físico de un sistema Orientado a Objetos, los componentes y los nodos tienen semejanzas. Entre las semejanzas NO se encuentra que:","Ambos pueden participar en relaciones de dependencia, generalización y asociación.",Ambos representan el empaquetamiento físico de los elementos lógicos.,Ambos pueden tener instancias.,Ambos pueden participar en interacciones.,B,B3,A.deGrado,PREPARATIC24,2016,,,,,84,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Qué diagramas de los empleados en UML (Unified Modeling Language) describen el comportamiento dinámico del sistema mediante el paso de mensajes entre los objetos del mismo?,Diagramas de interacción.,Diagramas de flujo de datos.,Diagramas de casos de uso.,Diagramas de estados.,A,B3,A.deGrado,PREPARATIC24,2016,,,,,86,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Cuál de los siguientes no es un componente de la arquitectura J2EE?,SAAJ,JAX-RPC,JTA,MJS,D,B2,A.deGrado,PREPARATIC24,2016,,,,,64,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"En el ámbito de las plataformas .NET, señale cual de las siguientes afirmaciones es FALSA:",En ADO.NET los comandos de datos se usan para empaquetar las instrucciones SQL o los procedimientos almacenados.,En ADO.NET no se utiliza XML directamente cuando se trabaja con metadatos.,"En las aplicaciones Web ASP.NET, los componentes están desconectados entre sí inherentemente.","En ADO.NET, el formato de transferencia de datos es XML.",B,B2,A.deGrado,PREPARATIC24,2016,,,,,63,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Es posible incluir código JavaScript en un script ASP?,"No, es imposible pues ASP es de Microsoft y JavaScript es un estándar abierto.","Sí, comenzando el documento con una sentencia <%@ language=""javascript"" %>.","Sí, comenzando el documento con una sentencia <% language=""javascript"" %>.","Sí, comenzando el documento con una sentencia <% language=""javascript"" %>, y finalizándolo con <%/ language=""javascript"" %>.",B,B2,A.deGrado,PREPARATIC24,2016,,,,,64,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"En Métrica 3, entre las actividades y tareas de Aseguramiento de la Calidad contempladas en el proceso ASI (Análisis del Sistema de Información), se encuentra:",Establecimiento del Plan de Aseguramiento de la calidad.,Revisión del catálogo de requisitos y la consistencia entre productos.,Registro de la aceptación de la arquitectura del sistema.,Revisión del código de componentes y procedimientos.,B,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"Según la iniciativa de accesibilidad web (WAI), señale qué significa el nivel de conformidad 'Doble A':",Que se cumple el punto de verificación 2.,Que no tiene gráficos que no sean visibles a corta distancia.,Que se cumplen los puntos de verificación 1 y 2.,Significa que el contenido puede leerse utilizando un 'pluggin' de lectura.,C,B1,A.deGrado,PREPARATIC24,2016,,,,,42,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
En el mundo del sistema operativo Unix existe una interface para que un proceso de usuario pueda comunicarse con el hardware. Señale cómo se llaman dichas interfaces:,Sysraw,ISC,Call,Sys,B,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Cuál de las siguientes características corresponde a una SAN (Storage Área Network) pero NO a una NAS (Network Attached Storage)?,"El dispositivo de almacenamiento no corresponde a un único servidor, pudiendo ser compartido por varios servidores.","Las conexiones físicas desde los servidores hacia la plataforma son de uso específico para el almacenamiento, no siendo utilizadas para otros fines",Las peticiones de datos al sistema se hacen de forma remota a través del protocolo CIFS,Se comparte la misma infraestructura de red para los servidores y para el almacenamiento,B,B2,A.deGrado,PREPARATIC24,2016,,,,,53,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"Visualizando el contenido de uno de los siguientes archivos podemos saber los usuarios que hay dados de alta en un sistema Unix, señale cuál es:",/etc/hosts,/etc/passwd,/usr/lst,/adm/userbd,B,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"En la gestión del espacio de un disco, en un sistema operativo de tipo UNIX, señale qué proporciona el comando ""du"":",El espacio disponible.,El tipo de archivos.,El tipo de datos.,El espacio que ocupa un directorio y sus archivos.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Puede el administrador de la Base de Datos Relacional autorizar a un usuario para que pueda añadir columnas en una tabla permitiendo que este usuario pueda autorizar a otros este mismo privilegio?,Añadir columnas en una tabla es tarea exclusiva del administrador de la Base de Datos y no puede delegarla,Añadir columnas en una tabla no requiere la autorización del administrador de la Base de Datos,"Sí, puede autorizar a que un usuario añada columnas en una tabla, pero no puede autorizar para que un usuario pueda a su vez conceder este privilegio",Sí puede autorizar ambas cosas,D,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"Señale qué lenguaje es el que incluye las operaciones de creación, modificación y eliminación de las estructuras de la base:",DDL,DML,DLC,TCL,A,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
Señale cuál de los siguientes controles es el más crítico sobre las actividades de administración de bases de datos:,Aprobación de las actividades de Administrador de bases de datos,Segregación de tareas,Revisión de logs de acceso y actividades,Revisión del uso de las herramientas del Sistema Gestor de Base de Datos (SGBD),B,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"En sistemas windows, señale cuál es la herramienta que permite realizar tareas de inventario, distribución de software y control remoto:","SMS, system management service.","SAK, system admistration kit.","AMK, administration and management kit.","RSM, remote server manager.",A,B2,A.deGrado,PREPARATIC24,2016,,,,,58,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Cuáles de las siguientes tareas podrían ser llevadas a cabo por la misma persona dentro de un departamento de sistemas de información sin repercusiones negativas para el control y la seguridad?,Administración de seguridad y gestión de cambios.,Operaciones de producción y desarrollo de sistemas.,Desarrollo de sistemas y gestión de cambios.,Desarrollo de sistemas y mantenimiento de sistemas.,D,B1,A.deGrado,PREPARATIC24,2016,,,,,43,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
Señale la afirmación correcta. Los procedimientos de control de cambios ayudan a mantener la integridad de la información del sistema asegurando que:,El código pasado a producción está autorizado.,El código de producción está libre de errores.,Los datos activos son periódicamente auditados.,Los datos activos son actualizados periódicamente.,A,B3,A.deGrado,PREPARATIC24,2016,,,,,96,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
El objetivo clave en la planificación de la capacidad de los sistemas informáticos es asegurar que:,Los recursos disponibles son plenamente empleados.,Se añadirán nuevos recursos para las nuevas aplicaciones de manera puntual.,Los recursos existentes se emplean de manera eficaz y eficiente.,La utilización de recursos no baja del 85%.,C,B3,A.deGrado,PREPARATIC24,2016,,,,,84,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"Dentro de las topologías SAN, señale cuál es la que permite conectar hasta 126 dispositivos:",Punto a punto,Fibre Channel Arbitred loop,Switched fabric,Ninguna de las anteriores,B,B2,A.deGrado,PREPARATIC24,2016,,,,,53,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Cuál de las siguientes aseveraciones es FALSA en relación con los sistemas de discos múltiples RAID (Redundant Array of Independent Disks)?,Un RAID 1 crea una copia exacta (o espejo) de un conjunto de datos en dos o más discos.,Un RAID 1 resulta útil cuando el rendimiento en lectura es más importante que la capacidad.,Un RAID 2 divide los datos a nivel de bits en lugar de a nivel de bloques y usa un código de Hamming para la corrección de errores.,Un RAID o (también llamado conjunto dividido o volumen dividido) distribuye los datos equitativamente entre dos o más discos con información de paridad para proporcionar redundancia.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,53,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Cuántas unidades de disco se necesitan como mínimo para implementar una solución RAID 5?,1,2,3,4,C,B2,A.deGrado,PREPARATIC24,2016,,,,,53,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"En las redes Ethernet las especificaciones del medio son variadas. Para la especificación 1000Base-T, indique qué cable se utiliza:",FTP,Coaxial fino,UTP-5,UTP-3,C,B4,A.deGrado,PREPARATIC24,2016,,,,,104,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
Indique la afirmación correcta en relación con la transmisión por fibra óptica:,La velocidad de propagación de la luz a través de una fibra óptica monomodo es de 300.000 Kms/seg.,La fibra óptica monomodo tiene una atenuación menor que el cable coaxial.,A la fibra óptica monomodo también se la conoce como de índice gradual.,La fibra óptica multimodo es la que presenta menores pérdidas de la señal.,B,B4,A.deGrado,PREPARATIC24,2016,,,,,104,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Cuántos elementos conductores diferenciados tiene un cable coaxial?,4,3,2,1,C,B4,A.deGrado,PREPARATIC24,2016,,,,,104,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"En la herramienta de monitorización remota -RMON-, señale qué elemento genera la información estadística de los nodos:",El cliente,El servidor,Los dos anteriores,Ninguno de los anteriores,B,B4,A.deGrado,PREPARATIC24,2016,,,,,114,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"Señale cuál de las siguientes características está disponible en SNMP v3, y NO lo estaba en las versiones previas:",Mensajes GetBulkRequest,Sentencias username para auntenticación,Mensajes GetNextRequest,Saludo de tres vías y reconocimiento para la transferencia de mensajes,B,B4,A.deGrado,PREPARATIC24,2016,,,,,114,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
Señale la afirmación correcta. TCP es:,Un protocolo de la capa de transporte orientado a conexión.,Un protocolo de la capa de transporte no orientado a conexión.,Un protocolo de las capas de enlace y red que puede detectar y compensar paquetes perdidos o datos alterados.,Un protocolo de la capa de transporte orientado fundamentalmente a regular el flujo de transmisión para no saturar a los receptores más lentos.,A,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Cuáles son los principales protocolos que operan en la capa de transporte en el modelo TCP/IP?,IPX y FTP,UDP y TCP,IP y TCP,UDP y IP,B,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
Señale cómo se denomina la unidad de datos usada en la capa de transporte:,Paquete,Segmento,Trama,Ninguna de las anteriores,B,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Es posible que en una misma sesión/aplicación sobre Internet se utilicen simultáneamente los protocolos de seguridad IPSec y SSL?,"No, se debe elegir en la implementación de la aplicación una de las dos, pues trabajan en el mismo nivel.","No, se debe elegir en la implementación de la aplicación una de las dos, pues son incompatibles a nivel de socket.","Sí, no debe presentar especiales problemas.","Sí, pero necesita una adaptación especial para que no se produzca una transposición de claves.",C,B4,A.deGrado,PREPARATIC24,2016,,,,,120,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"Para evaluar el comportamiento de un sistema es necesario disponer de una serie de medidas cuantitativas. La cantidad de trabajo útil ejecutado por unidad de tiempo en un entorno de carga determinado, se denomina:",Productividad.,Capacidad.,Overhead.,Tiempo de respuesta.,A,B1,A.deGrado,PREPARATIC24,2016,,,,,39,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"Dentro de la arquitectura MPLS -Multiple Protocol Label Switching-, tecnología de conmutación para circuitos virtuales, ¿cómo se denomina al tráfico que se encamina bajo una etiqueta?",FER,LSB,FEC,LSR,C,B4,A.deGrado,PREPARATIC24,2016,,,,,107,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
Indique cuál de los siguientes NO es un paquete que se curse en el nivel 3 del protocolo X.25 en la fase de establecimiento de la conexión,CALL REQUEST,INCOMING CALL,CLEAR INDICATION,CALL CONECTED,C,B4,A.deGrado,PREPARATIC24,2016,,,,,114,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
Indique cuál de los siguientes NO es un protocolo de encaminamiento IGP (Interior Gateway Protocol),RIP,BGP,OSPF,IGRP,B,B4,A.deGrado,PREPARATIC24,2016,,,,,102,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
ATM (modo de transferencia asíncrono)es un protocolo de nivel 2 utilizado en las redes de operadores sobre el que se encapsulan protocolos de niveles superiores en celdas de 53 octetos. Indique cuál de las siguientes capas es la encargada de añadir los últimos 5 bytes de overhead ó sobrecarga de protocolo a los 48 bytes restántes para completar la celda ATM.,Capa AAL1,Capa CBR,Capa AAL5,Capa ATM,D,B4,A.deGrado,PREPARATIC24,2016,,,,,107,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Cuál de las siguientes clases de servicio proporcionadas por el protocolo ATM (Asynchronous Transfer Mode) deberíamos utilizar para la transmisión de video MPEG?,ABR,VBR-RT,VBR-NRT,UBR,B,B4,A.deGrado,PREPARATIC24,2016,,,,,107,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"En relación con el protocolo MPLS (Multiprotocol Label Switching), indique cuál de las siguientes afirmaciones es FALSA:",En MPLS el camino que el tráfico sigue por los nodos está prefijado desde el origen.,"En MPLS se puede ofrecer un conjunto mayor y más flexible de servicios sobre las redes de operador, si bien, el mecanismo de conmutación de etiquetas es algo más lento que el mecanismo de encaminamiento IP.",Sobre MPLS se pueden establecer Redes Privadas Virtuales de nivel 3 con protocolo IP,Sobre MPLS se pueden establecer Redes Privadas Virtuales de nivel 2 con VPLS,B,B4,A.deGrado,PREPARATIC24,2016,,,,,107,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
Las redes ATM se caracterizan por:,Las células se transmiten a intervalos regulares.,Se realiza control de errores en el campo de datos.,No se garantiza que las células llegan a su destino en el mismo orden en el que fueron transmitidas.,Se realiza control de flujo en la red ATM.,A,B4,A.deGrado,PREPARATIC24,2016,,,,,107,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Cuál de los siguientes no es un requisito indispensable para una comunicación segura?,Auditoría,Confidencialidad,Integridad,Disponibilidad,A,B4,A.deGrado,PREPARATIC24,2016,,,,,120,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
